onset	duration	nwb_table
0.0	184300.0	epochs
7.4752	3.2768000000000006	trials
14.336	4.6335999999999995	trials
22.0416	11.212799999999998	trials
37.0688	5.145599999999995	trials
45.952	5.529600000000002	trials
56.1408	5.555199999999999	trials
67.2768	5.529600000000002	trials
77.4144	2.7391999999999967	trials
84.3264	6.604799999999997	trials
94.6432	2.2272000000000105	trials
103.68	3.583999999999989	trials
111.7696	2.7391999999999967	trials
115.4304	6.0672	trials
126.4128	5.094400000000007	trials
134.784	4.608000000000004	trials
139.9296	2.636799999999994	trials
153.9072	6.3744000000000085	trials
163.8912	4.55680000000001	trials
172.2368	8.064000000000021	trials
9986.0224	4.019200000000637	trials
10001.536	2.380800000000818	trials
10005.4016	4.659200000000055	trials
10013.4144	9.036799999999857	trials
10025.7792	7.039999999999054	trials
10035.7888	6.3487999999997555	trials
10052.4032	5.760000000000218	trials
10069.5296	2.6111999999993714	trials
10073.9328	2.5856000000003405	trials
10080.384	4.300800000000891	trials
10088.5504	10.368000000000393	trials
10106.1376	4.019200000000637	trials
10114.0736	7.014400000000023	trials
10125.1072	2.7391999999999825	trials
10128.4352	2.995199999999386	trials
10134.144	2.53440000000046	trials
10141.7728	4.889599999998609	trials
10152.832	9.958399999999529	trials
10170.5216	5.504000000000815	trials
10176.9216	5.171200000000681	trials
10186.2656	2.6111999999993714	trials
10190.08	4.121600000000399	trials
10203.0592	4.377599999999802	trials
10211.0208	8.44800000000032	trials
10223.1552	8.115200000000186	trials
10231.8592	2.50879999999961	trials
10237.7216	6.118399999999383	trials
10250.3168	3.32799999999952	trials
10256.512	2.2528000000002066	trials
10260.608	6.579200000000128	trials
10274.5344	2.227199999999357	trials
10285.7472	2.355199999999968	trials
10294.656	3.0975999999991473	trials
10298.2656	2.047999999998865	trials
10304.8192	5.0943999999999505	trials
10316.6976	4.505600000000413	trials
10321.9712	4.428799999999683	trials
10332.032	14.131200000001627	trials
10349.3376	4.275200000000041	trials
10366.9248	2.8671999999987747	trials
10374.3488	2.355199999999968	trials
10386.7648	4.12159999999858	trials
10398.9504	3.0464000000010856	trials
10405.4016	9.600000000000364	trials
10418.3296	6.0416000000004715	trials
10429.0816	14.105600000000777	trials
10445.9264	3.1743999999998778	trials
10454.3488	2.5856000000003405	trials
10459.1872	5.478399999999965	trials
10471.9104	11.852799999998751	trials
10486.2976	2.8927999999996246	trials
10492.0576	3.916799999999057	trials
10502.8352	2.2528000000002066	trials
10511.5904	3.0208000000002357	trials
10524.8768	2.175999999999476	trials
10535.8336	5.93920000000071	trials
10552.3456	4.326399999999921	trials
10563.1744	12.6208000000006	trials
10577.8688	6.912000000000262	trials
10587.7248	2.7391999999999825	trials
10592.6656	7.782400000000052	trials
10602.7776	5.785600000001068	trials
10614.1952	7.321599999999307	trials
10623.4112	2.175999999999476	trials
10626.176	2.329600000000937	trials
10630.0672	2.9184000000004744	trials
10636.6464	2.969600000000355	trials
10650.3168	4.326399999999921	trials
10659.968	2.3040000000000873	trials
10663.2192	5.196799999999712	trials
10671.872	2.355199999999968	trials
10681.1392	4.121600000000399	trials
10689.3824	5.273600000000442	trials
10699.4176	5.068799999999101	trials
10706.048	2.2783999999992375	trials
10713.7024	2.4575999999997293	trials
10716.7744	3.430399999999281	trials
10740.8384	2.073599999999715	trials
10760.8832	5.04320000000007	trials
10774.4512	2.9184000000004744	trials
10790.0416	2.201600000000326	trials
10793.1392	3.0976000000009662	trials
10814.3104	3.3791999999994005	trials
10818.5088	5.836800000000949	trials
10829.5168	3.737600000000384	trials
10839.9616	7.039999999999054	trials
