onset	duration	nwb_table
0.0	217300.0	epochs
4.1216	10.367999999999999	trials
16.9472	3.5328000000000017	trials
21.1968	3.379200000000001	trials
35.4304	3.0208000000000013	trials
46.7456	4.7104	trials
55.552	5.734400000000001	trials
66.7904	2.1759999999999877	trials
72.96	3.891200000000012	trials
77.4912	5.299199999999999	trials
87.296	3.3023999999999916	trials
96.4608	3.711999999999989	trials
107.0336	3.9679999999999893	trials
116.8896	5.094399999999993	trials
134.528	2.969600000000014	trials
140.6464	2.636799999999994	trials
151.7824	5.06880000000001	trials
177.3312	4.019200000000012	trials
194.6368	2.6111999999999966	trials
198.144	2.4831999999999823	trials
204.0832	2.073599999999999	trials
5744.512	2.9440000000004147	trials
5750.912	2.918399999999565	trials
5759.616	8.960000000000036	trials
5779.7632	4.300799999999981	trials
5789.952	4.684799999999996	trials
5799.1168	2.969600000000355	trials
5803.9296	4.275200000000041	trials
5812.8896	4.889599999999518	trials
5824.7168	5.145599999999831	trials
5834.6496	5.657600000000457	trials
5844.7616	7.116799999999785	trials
5861.12	3.2768000000005486	trials
5865.5488	3.3280000000004293	trials
5873.8944	6.323199999999815	trials
5883.7248	4.761599999999817	trials
5891.84	4.966400000000249	trials
5901.0304	2.969600000000355	trials
5907.84	3.32799999999952	trials
5917.0304	6.476800000000367	trials
5930.368	3.0463999999992666	trials
5938.2016	3.0463999999992666	trials
5945.7024	2.841599999999744	trials
5953.2544	2.124800000000505	trials
5961.1392	5.06880000000001	trials
5970.5856	3.0207999999993262	trials
5974.4256	2.2528000000002066	trials
5980.9792	3.0976000000000568	trials
5988.1984	5.1711999999997715	trials
5997.2096	2.6624000000001615	trials
6001.3568	3.0208000000002357	trials
6009.1904	6.476799999999457	trials
6020.9664	4.351999999999862	trials
6033.5616	4.659200000000055	trials
6039.0656	3.3536000000003696	trials
6044.2624	3.6864000000005035	trials
6050.9952	5.785600000000159	trials
6060.16	4.044800000000578	trials
6067.6096	6.2719999999999345	trials
