onset	duration	nwb_table	label
0.0	186800.0	epochs	
5.0	1779.0	states	Awake
1785.0	21.0	states	Non-REM
1807.0	55.0	states	Awake
1863.0	47.0	states	Non-REM
1911.0	304.0	states	Awake
2216.0	446.0	states	Non-REM
2663.0	1629.0	states	Awake
4293.0	7.0	states	Non-REM
4301.0	202.0	states	Awake
4504.0	239.0	states	Non-REM
4744.0	178.0	states	Awake
4923.0	281.0	states	Non-REM
5205.0	1157.0	states	Awake
6363.0	41.0	states	Non-REM
6405.0	1188.0	states	Awake
7594.0	19.0	states	Non-REM
7614.0	11.0	states	Awake
7626.0	54.0	states	Non-REM
7681.0	30.0	states	Awake
7712.0	373.0	states	Non-REM
8086.0	175.0	states	Awake
8262.0	268.0	states	Non-REM
8531.0	21.0	states	REM
8553.0	386.0	states	Awake
8940.0	382.0	states	Non-REM
9323.0	14.0	states	Awake
9338.0	11.0	states	Non-REM
9350.0	72.0	states	Awake
9423.0	141.0	states	Non-REM
9565.0	13.0	states	REM
9579.0	51.0	states	Non-REM
9631.0	127.0	states	REM
9759.0	32.0	states	Awake
9792.0	60.0	states	REM
9853.0	12.0	states	Awake
9866.0	209.0	states	Non-REM
10076.0	1145.0	states	Awake
11222.0	13.0	states	Non-REM
11236.0	142.0	states	Awake
11379.0	69.0	states	Non-REM
11449.0	19.0	states	Awake
11469.0	127.0	states	Non-REM
11597.0	594.0	states	Awake
12192.0	11.0	states	Non-REM
12204.0	671.0	states	Awake
12876.0	27.0	states	Non-REM
12904.0	691.0	states	Awake
13596.0	30.0	states	Non-REM
13627.0	2744.0	states	Awake
16372.0	34.0	states	Non-REM
16407.0	295.0	states	Awake
16703.0	305.0	states	Non-REM
17009.0	17.0	states	REM
17027.0	18.0	states	Awake
17046.0	350.0	states	Non-REM
17397.0	95.0	states	REM
17493.0	12.0	states	Awake
17506.0	31.0	states	REM
17538.0	11.0	states	Awake
17550.0	512.0	states	Non-REM
18063.0	1942.0	states	Awake
20006.0	825.0	states	Non-REM
20832.0	158.0	states	REM
20991.0	17.0	states	Awake
21009.0	123.0	states	Non-REM
21133.0	27.0	states	Awake
21161.0	550.0	states	Non-REM
21712.0	22.0	states	REM
21735.0	28.0	states	Awake
21764.0	56.0	states	Non-REM
21821.0	120.0	states	REM
21942.0	15.0	states	Awake
21958.0	339.0	states	Non-REM
22298.0	1724.0	states	Awake
24023.0	21.0	states	Non-REM
24045.0	41.0	states	Awake
24087.0	94.0	states	Non-REM
24182.0	29.0	states	Awake
24212.0	116.0	states	Non-REM
24329.0	655.0	states	Awake
186800.0	13153000.0	epochs	
13339800.0	1067400.0	epochs	
14407200.0	9933300.0	epochs	
24340500.0	649200.0	epochs	
